Сидели,VERB
мы,PRON
значит,PART
с,PREP
ним,PRON
в,PREP
кафе,NOUN
ели,VERB
пили,VERB
С,PREP
зимним,ADJ
солнцестоянием,NOUN
и,CONJ
празднованием,NOUN
возрождения,NOUN
солнца,NOUN
связаны,PRT
ещё,ADV
омела,NOUN
и,CONJ
остролист,NOUN
которые,CONJ
подобно,ADV
ели,NOUN
остаются,VERB
зелёными,ADJ
тогда,ADV
когда,CONJ
другие,ADJ
растения,NOUN
умирают,VERB
Когда,CONJ
мы,PRON
сравнялись,VERB
в,PREP
четвёртый,NUM
раз,NOUN
боковое,ADJ
стекло,NOUN
опустилось,VERB
и,CONJ
водитель,NOUN
улыбаясь,VERB
перегнулся,VERB
через,PREP
пассажирское,ADJ
сиденье,NOUN
По,PREP
усам,NOUN
стекло,VERB
а,CONJ
в,PREP
рот,NOUN
не,PART
попало,VERB
Еду,VERB
вниз,ADV
скорость,NOUN
держу,VERB
в,PREP
пределах,NOUN
35,NUM
километров,NOUN
в,PREP
час,NOUN
всё,ADV
же,PART
каменистая,ADJ
грунтовка,NOUN
да,PART
и,CONJ
поворотов,NOUN
навалом,ADV
Таня,NOUN
покупала,VERB
в,PREP
кулинарии,NOUN
дешёвую,ADJ
еду,NOUN
в,PREP
несметных,ADJ
количествах,NOUN
кормила,VERB
рабочих,NOUN
домашних,NOUN
и,CONJ
набегавших,PRT
время,NOUN
от,PREP
времени,NOUN
знакомых,NOUN
При,PREP
таком,PRON
подходе,NOUN
программа,NOUN
моделирования,NOUN
строится,VERB
на,PREP
основе,NOUN
событийной,ADJ
модели,NOUN
где,CONJ
событиями,NOUN
являются,VERB
начала,NOUN
или,CONJ
окончания,NOUN
временных,ADJ
интервалов,NOUN
Я,PRON
нашла,VERB
подходящий,PRT
момент,NOUN
и,CONJ
начала,VERB
разговор,NOUN
в,PREP,
непринуждённой,ADJ
форме,NOUN
о,PREP
религии,NOUN
и,CONJ
его,PRON
отношении,NOUN
Думал,VERB
вошью,VERB
обычный,ADJ
митральный,ADJ
клапан,NOUN
управлюсь,VERB
без,PREP
спешки,NOUN
А,CONJ
смех,NOUN
если,CONJ
уж,PART
Веня,NOUN
над,PREP
кем,PRON
смеялся,VERB
делал,VERB
сидящего,PRT
напротив,ADV
ничтожеством,NOUN
вошью,NOUN
Лежат,VERB
себе,PRON
недвижно,ADV
в,PREP
тихой,ADJ
воде,NOUN
и,CONJ
сквозь,PREP
них,PRON
снуют,VERB
задиристые,ADJ
ерши,NOUN
упитанные,ADJ
караси,NOUN
вечно,ADV
голодные,ADJ
окуни,NOUN
а,CONJ
изредка,ADV
проплывет,VERB
зевая,VERB
зубастой,ADJ
пастью,NOUN
щука,NOUN
Окуни,VERB
ребенка,NOUN
в,PREP
реку,NOUN
пусть,PART
привыкнет,VERB
к,PREP
воде,NOUN
Представь,VERB
что,CONJ
лежишь,VERB
на,PREP
берегу,NOUN
моря,NOUN
где-нибудь,ADV
в,PREP
самом,PRON
тёплом,ADJ
и,CONJ
приятном,ADJ
месте,NOUN
на,PREP
земле,NOUN
Сокровища,NOUN
заложенные,PRT
в,PREP
чувстве,NOUN
я,PRON
берегу,NOUN
для,PREP
творческих,ADJ
минут,NOUN
В,PREP
сорок,NUM
два,NUM
он,PRON
вложил,VERB
в,PREP
уста,NOUN
Арамиса,NOUN
передумавшего,PRT
уходить,VERB
из,PREP
мушкетёров,NOUN
в,PREP
аббаты,NOUN
пламенную,ADJ
тираду,NOUN
Унеси,VERB
эти,PRON
отвратительные,ADJ
овощи,NOUN
и,CONJ
гнусную,ADJ
яичницу,NOUN
Они,PRON
были,VERB
живы,ADJ
варили,VERB
конину,NOUN
охотились,VERB
на,PREP
последних,ADJ
сталинградских,ADJ
собак,NOUN
ловили,VERB
в,PREP
степи,NOUN
сорок,NOUN
давили,VERB
вшей,NOUN
курили,VERB
сигареты,NOUN
в,PREP
которых,PRON
бумага,NOUN
была,VERB
завернута,PRT
в,PREP
бумагу,NOUN
а,CONJ
в,PREP
это,PRON
время,NOUN
государственные,ADJ
радиостанции,NOUN
передавали,VERB
в,PREP
честь,NOUN
подземных,ADJ
героев,NOUN
торжественную,ADJ
траурную,ADJ
музыку,NOUN
